Timestamp,Candle_Timestamp,Profile,Signal_Type,Votes,Threshold,ADX_Value,ADX_Threshold,Cooldown_Remaining,Blocked_Reason,Status
2026-06-17 21:09:13,2026-06-17 15:40:00,Balanced,BUY,3,3,18.66,15,0,"MTF blocked — 15m trend is BEARISH, not BULLISH",BLOCKED_CONSENSUS
2026-06-17 21:09:44,2026-06-17 15:40:00,Balanced,BUY,3,3,18.66,15,0,"MTF blocked — 15m trend is BEARISH, not BULLISH",BLOCKED_CONSENSUS
2026-06-17 21:10:15,2026-06-17 15:40:00,Balanced,BUY,3,3,18.66,15,0,"MTF blocked — 15m trend is BEARISH, not BULLISH",BLOCKED_CONSENSUS
2026-06-17 21:10:46,2026-06-17 15:40:00,Balanced,BUY,3,3,18.66,15,0,"MTF blocked — 15m trend is BEARISH, not BULLISH",BLOCKED_CONSENSUS
2026-06-17 21:11:18,2026-06-17 15:40:00,Balanced,BUY,3,3,18.66,15,0,"MTF blocked — 15m trend is BEARISH, not BULLISH",BLOCKED_CONSENSUS
2026-06-17 21:11:49,2026-06-17 15:40:00,Balanced,BUY,3,3,18.66,15,0,"MTF blocked — 15m trend is BEARISH, not BULLISH",BLOCKED_CONSENSUS
2026-06-17 21:12:20,2026-06-17 15:40:00,Balanced,BUY,3,3,18.66,15,0,"MTF blocked — 15m trend is BEARISH, not BULLISH",BLOCKED_CONSENSUS
2026-06-17 21:12:51,2026-06-17 15:45:00,Balanced,BUY,3,3,19.88,15,0,"MTF blocked — 15m trend is BEARISH, not BULLISH",BLOCKED_CONSENSUS
2026-06-17 21:13:23,2026-06-17 15:45:00,Balanced,BUY,3,3,19.88,15,0,"MTF blocked — 15m trend is BEARISH, not BULLISH",BLOCKED_CONSENSUS
2026-06-17 21:13:54,2026-06-17 15:45:00,Balanced,BUY,3,3,19.88,15,0,"MTF blocked — 15m trend is BEARISH, not BULLISH",BLOCKED_CONSENSUS
2026-06-17 21:14:25,2026-06-17 15:45:00,Balanced,BUY,3,3,19.88,15,0,"MTF blocked — 15m trend is BEARISH, not BULLISH",BLOCKED_CONSENSUS
2026-06-17 21:14:56,2026-06-17 15:45:00,Balanced,BUY,3,3,19.88,15,0,"MTF blocked — 15m trend is BEARISH, not BULLISH",BLOCKED_CONSENSUS
2026-06-17 21:15:28,2026-06-17 15:45:00,Balanced,BUY,3,3,19.88,15,0,"MTF blocked — 15m trend is BEARISH, not BULLISH",BLOCKED_CONSENSUS
2026-06-17 21:15:59,2026-06-17 15:45:00,Balanced,BUY,3,3,19.88,15,0,"MTF blocked — 15m trend is BEARISH, not BULLISH",BLOCKED_CONSENSUS
