Timestamp,Action,Entry Price,Exit Price,Quantity,Profit/Loss,Profit %,Trade Duration,Signal Reason
2026-06-18 13:29:15,BUY,65980.46,66110.65,0.039958,5.2021,0.2,0 min,Consensus
2026-06-18 13:29:15,BUY,66348.0,66388.0,0.039776,1.591,0.06,0 min,Consensus
2026-06-18 13:29:15,BUY,66336.35,66041.3,0.039795,-11.7414,-0.44,0 min,Consensus
2026-06-18 13:29:15,BUY,65568.01,65663.99,0.040171,3.8557,0.15,0 min,Consensus
2026-06-18 13:29:15,BUY,64922.01,64962.95,0.040601,1.6622,0.06,0 min,Consensus
2026-06-18 13:29:15,BUY,65280.0,65204.76,0.040391,-3.039,-0.12,0 min,Consensus
2026-06-18 13:29:15,BUY,65266.18,65929.29,0.040376,26.7738,1.02,0 min,Consensus
2026-06-18 13:29:15,BUY,65478.02,65453.99,0.04045,-0.972,-0.04,0 min,Consensus
2026-06-18 13:29:15,BUY,64167.98,64365.29,0.041268,8.1426,0.31,0 min,Consensus
2026-06-18 13:29:15,BUY,63985.04,63951.98,0.04145,-1.3703,-0.05,0 min,Consensus
2026-06-18 13:29:15,BUY,63774.1,63926.0,0.041576,6.3154,0.24,0 min,Consensus
