Timestamp,Action,Price,Quantity,Balance,PnL,Reason
2026-06-17 21:50:20,BUY,66247.99,0.037736993982760834,5000.0,0.0,Consensus
2026-06-17 22:43:42,CLOSE,65942.82,0.037736993982760834,4988.4838,-11.5162,Stop Loss (ATR)
2026-06-17 22:48:53,BUY,65984.01,0.037800702030281894,4988.4838,0.0,Consensus
2026-06-17 22:49:58,CLOSE,65958.24,0.037800702030281894,4987.5097,-0.9741,Consensus
2026-06-17 22:51:33,SELL,65966.27,0.03780348409463625,4987.5097,0.0,Consensus
2026-06-17 22:52:05,CLOSE,65974.0,0.03780348409463625,4987.2175,-0.2922,Consensus
2026-06-17 22:53:40,BUY,65983.99,0.03779111763719434,4987.2175,0.0,Consensus
2026-06-17 22:54:12,CLOSE,65945.0,0.03779111763719434,4985.744,-1.4735,Consensus
2026-06-17 22:55:47,SELL,65968.0,0.03778910972627816,4985.744,0.0,Consensus
2026-06-17 22:56:19,CLOSE,65987.03,0.03778910972627816,4985.0249,-0.7191,Consensus
2026-06-17 22:57:54,SELL,65912.93,0.037815227255776254,4985.0249,0.0,Consensus
2026-06-17 23:01:37,CLOSE,65960.06,0.037815227255776254,4983.2426,-1.7822,Consensus
2026-06-17 23:02:57,SELL,65913.29,0.03780150120277397,4983.2426,0.0,Consensus
2026-06-18 09:22:51,CLOSE,64290.09,0.03780150120277397,5044.602,61.3594,Take Profit (ATR)
2026-06-18 09:24:00,SELL,64262.01,0.03925026636406115,5044.602,0.0,Consensus
2026-06-18 09:31:03,CLOSE,64168.0,0.03925026636406115,5048.2919,3.6899,Consensus
2026-06-18 09:32:37,BUY,64140.79,0.039353209842915925,5048.2919,0.0,Consensus
2026-06-18 09:34:10,CLOSE,63968.73,0.039353209842915925,5041.5208,-6.7711,Stop Loss (ATR)
2026-06-18 09:35:44,BUY,64015.88,0.03937711098742402,5041.5208,0.0,Consensus
2026-06-18 09:38:56,CLOSE,64095.2,0.03937711098742402,5044.6442,3.1234,Consensus
2026-06-18 09:40:32,BUY,64058.0,0.03937559880014017,5044.6442,0.0,Consensus
2026-06-18 09:47:28,CLOSE,63985.04,0.03937559880014017,5041.7714,-2.8728,Consensus
