Timestamp,Action,Price,Quantity,Balance,PnL,Reason
2026-06-18 15:40:59,SELL,63997.6,0.039063964898683703,5000,0.0,Balanced Signal
2026-06-18 16:16:10,CLOSE,64150.0,0.039063964898683703,4994.0467,-5.9533,Stop Loss (ATR)
2026-06-18 16:31:16,SELL,64135.01,0.03893385727818114,4994.0467,0.0,Balanced Signal
2026-06-18 17:51:40,CLOSE,64154.35,0.03893385727818114,4993.2937,-0.753,Stop Loss (ATR)
2026-06-18 18:01:42,SELL,64196.0,0.03889100310727834,4993.2937,0.0,Balanced Signal
2026-06-18 18:21:49,CLOSE,64375.96,0.03889100310727834,4986.2948,-6.9988,Stop Loss (ATR)
