Timestamp,Action,Price,Quantity,Balance,PnL,Reason
2026-06-18 14:35:45,SELL,71.91,34.765679321373945,5000,0.0,Aggressive Signal
2026-06-18 14:40:46,CLOSE,72.09,34.765679321373945,4993.7422,-6.2578,Aggressive Signal
2026-06-18 14:55:49,BUY,71.9,34.72699706343638,4993.7422,0.0,Aggressive Signal
2026-06-18 15:00:50,CLOSE,71.87,34.72699706343638,4992.7004,-1.0418,Aggressive Signal
2026-06-18 15:15:53,SELL,71.91,34.71492398699937,4992.7004,0.0,Aggressive Signal
2026-06-18 15:30:56,CLOSE,71.44,34.71492398699937,5009.0164,16.316,Take Profit (ATR)
2026-06-18 15:40:59,SELL,71.29,35.13126933710295,5009.0164,0.0,Aggressive Signal
2026-06-18 15:51:02,CLOSE,71.19,35.13126933710295,5012.5295,3.5131,Aggressive Signal
2026-06-18 16:06:07,SELL,71.19,35.20529223920389,5012.5295,0.0,Aggressive Signal
2026-06-18 16:26:14,CLOSE,71.48,35.20529223920389,5002.32,-10.2095,Stop Loss (ATR)
2026-06-18 16:36:17,SELL,71.08,35.18795705028475,5002.32,0.0,Aggressive Signal
2026-06-18 16:51:23,CLOSE,71.09,35.18795705028475,5001.9681,-0.3519,Stop Loss (ATR)
2026-06-18 17:01:27,SELL,71.02,35.21520765064754,5001.9681,0.0,Aggressive Signal
2026-06-18 17:31:37,CLOSE,71.0,35.21520765064754,5002.6724,0.7043,Aggressive Signal
2026-06-18 17:46:39,SELL,71.27,35.09662129122345,5002.6724,0.0,Aggressive Signal
2026-06-18 18:11:46,CLOSE,71.53,35.09662129122345,4993.5473,-9.1251,Stop Loss (ATR)
2026-06-18 18:21:50,SELL,71.57,34.88575714206562,4993.5473,0.0,Aggressive Signal
2026-06-18 18:36:55,CLOSE,71.6,34.88575714206562,4992.5007,-1.0466,Aggressive Signal
2026-06-18 18:52:00,BUY,71.68,34.82492120954946,4992.5007,0.0,Aggressive Signal
2026-06-18 18:57:02,CLOSE,71.39,34.82492120954946,4982.4015,-10.0992,Stop Loss (ATR)
2026-06-18 19:07:06,SELL,70.86,35.156657334534586,4982.4015,0.0,Aggressive Signal
2026-06-18 19:12:07,CLOSE,71.16,35.156657334534586,4971.8545,-10.547,Aggressive Signal
