Timestamp,Action,Price,Quantity,Balance,PnL,Reason
2026-06-18 15:36:08,SELL,1741.84,1.4352638589078217,5000,0.0,Aggressive Signal
2026-06-18 15:51:12,CLOSE,1741.43,1.4352638589078217,5000.5885,0.5885,Aggressive Signal
2026-06-18 16:06:16,SELL,1740.91,1.4361995904963931,5000.5885,0.0,Aggressive Signal
2026-06-18 16:16:19,CLOSE,1751.84,1.4361995904963931,4984.8908,-15.6977,Stop Loss (ATR)
2026-06-18 16:26:23,BUY,1748.03,1.4258596238788883,4984.8908,0.0,Aggressive Signal
2026-06-18 16:36:26,CLOSE,1745.18,1.4258596238788883,4980.8271,-4.0637,Aggressive Signal
2026-06-18 16:51:31,BUY,1745.09,1.4270974840065473,4980.8271,0.0,Aggressive Signal
2026-06-18 17:01:34,CLOSE,1742.97,1.4270974840065473,4977.8017,-3.0254,Aggressive Signal
2026-06-18 17:16:37,SELL,1741.33,1.429310254249303,4977.8017,0.0,Aggressive Signal
2026-06-18 17:21:38,CLOSE,1743.34,1.429310254249303,4974.9287,-2.8729,Aggressive Signal
2026-06-18 17:36:41,BUY,1745.08,1.4254156647411111,4974.9287,0.0,Aggressive Signal
2026-06-18 17:41:42,CLOSE,1745.07,1.4254156647411111,4974.9145,-0.0143,Aggressive Signal
2026-06-18 17:56:45,BUY,1750.33,1.4211361521245105,4974.9145,0.0,Aggressive Signal
2026-06-18 18:01:46,CLOSE,1748.61,1.4211361521245105,4972.4701,-2.4444,Aggressive Signal
2026-06-18 18:16:50,SELL,1748.26,1.422119744235564,4972.4701,0.0,Aggressive Signal
2026-06-18 18:21:52,CLOSE,1750.57,1.422119744235564,4969.185,-3.2851,Aggressive Signal
