Timestamp,Action,Price,Quantity,Balance,PnL,Reason
2026-06-18 14:35:45,SELL,64359.99,0.03884400852144321,5000,0.0,Aggressive Signal
2026-06-18 14:40:46,CLOSE,64454.13,0.03884400852144321,4996.3432,-3.6568,Aggressive Signal
2026-06-18 14:55:49,BUY,64279.99,0.03886390792093925,4996.3432,0.0,Aggressive Signal
2026-06-18 15:00:50,CLOSE,64265.99,0.03886390792093925,4995.7991,-0.5441,Aggressive Signal
2026-06-18 15:15:54,SELL,64263.69,0.03886953215981605,4995.7991,0.0,Aggressive Signal
2026-06-18 15:30:56,CLOSE,64051.68,0.03886953215981605,5004.0399,8.2407,Aggressive Signal
2026-06-18 15:46:00,SELL,63934.0,0.03913441877436184,5004.0399,0.0,Aggressive Signal
2026-06-18 15:51:02,CLOSE,63933.75,0.03913441877436184,5004.0496,0.0098,Aggressive Signal
2026-06-18 16:06:06,SELL,64020.04,0.039081900319374946,5004.0496,0.0,Aggressive Signal
2026-06-18 16:16:10,CLOSE,64150.0,0.039081900319374946,4998.9706,-5.0791,Stop Loss (ATR)
2026-06-18 16:26:14,SELL,64173.41,0.03894892417030112,4998.9706,0.0,Aggressive Signal
2026-06-18 16:46:21,CLOSE,63918.0,0.03894892417030112,5008.9185,9.9479,Take Profit (ATR)
2026-06-18 16:56:25,SELL,64048.0,0.039102848679128346,5008.9185,0.0,Aggressive Signal
2026-06-18 17:21:35,CLOSE,63976.0,0.039102848679128346,5011.7339,2.8154,Aggressive Signal
2026-06-18 17:36:38,SELL,63998.0,0.03915539477410639,5011.7339,0.0,Aggressive Signal
2026-06-18 17:46:39,CLOSE,64130.0,0.03915539477410639,5006.5654,-5.1685,Aggressive Signal
2026-06-18 18:01:42,SELL,64196.0,0.03899437190320534,5006.5654,0.0,Aggressive Signal
2026-06-18 18:21:49,CLOSE,64375.96,0.03899437190320534,4999.548,-7.0174,Stop Loss (ATR)
2026-06-18 18:31:52,BUY,64420.44,0.03880405016038884,4999.548,0.0,Aggressive Signal
2026-06-18 18:36:54,CLOSE,64401.39,0.03880405016038884,4998.8088,-0.7392,Aggressive Signal
2026-06-18 18:51:58,BUY,64366.17,0.03883102531246681,4998.8088,0.0,Aggressive Signal
2026-06-18 18:57:00,CLOSE,64200.96,0.03883102531246681,4992.3935,-6.4153,Stop Loss (ATR)
2026-06-18 19:07:03,BUY,63912.0,0.03905677712621426,4992.3935,0.0,Aggressive Signal
